model,condition,entity_accuracy
deepgram,phone,100.0
deepgram,quiet,61.5
deepgram,rushed,66.7
deepgram,street,0.0
deepgram,traffic,25.0
deepgram,whisper,50.0
indicconformer,phone,100.0
indicconformer,quiet,69.2
indicconformer,rushed,33.3
indicconformer,street,66.7
indicconformer,traffic,25.0
indicconformer,whisper,100.0
sarvam,phone,0.0
sarvam,quiet,69.2
sarvam,rushed,33.3
sarvam,street,66.7
sarvam,traffic,25.0
sarvam,whisper,50.0
whisper,phone,0.0
whisper,quiet,84.6
whisper,rushed,66.7
whisper,street,33.3
whisper,traffic,25.0
whisper,whisper,100.0
